Country,Library,LC Class,1 Holding,2 Holdings,3 Holdings,4 Holdings,5 Holdings,6 Holdings,7 Holdings,8 Holdings,9 Holdings,10 Holdings,11 Holdings,12 Holdings,13 Holdings,14 Holdings,15 Holdings
Argentina,UMC,Q,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Argentina,UMC,R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Argentina,UMC,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UMC,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,UMC,U,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,UMC,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UMC,Z,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
Argentina,EYM,A,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Argentina,EYM,B,24,17,25,26,16,12,4,3,0,0,0,0,0,0,0
Argentina,EYM,C,1,1,2,1,2,1,0,2,0,0,0,0,0,0,0
Argentina,EYM,D,4,7,8,8,1,4,4,1,0,0,0,0,0,0,0
Argentina,EYM,E,2,0,3,3,5,2,0,1,1,0,0,0,0,0,0
Argentina,EYM,F,36,97,233,202,185,175,59,25,15,10,3,2,0,0,0
Argentina,EYM,G,1,4,19,12,11,4,4,0,0,1,0,0,0,0,0
Argentina,EYM,H,41,111,209,190,177,144,58,26,14,7,4,0,0,0,0
Argentina,EYM,J,9,24,32,36,45,33,12,3,2,2,0,0,0,0,0
Argentina,EYM,K,2,8,8,8,5,5,1,0,0,0,0,0,0,0,0
Argentina,EYM,L,4,15,25,13,4,1,2,1,0,0,0,0,0,0,0
Argentina,EYM,M,2,4,6,4,2,3,6,2,0,0,0,0,0,0,0
Argentina,EYM,N,16,6,11,6,9,3,3,3,0,1,0,0,0,0,0
Argentina,EYM,P,90,186,321,287,321,254,171,150,98,72,43,17,14,2,1
Argentina,EYM,Q,3,6,7,5,1,3,1,0,0,0,0,0,0,0,0
Argentina,EYM,R,1,2,9,4,3,1,0,1,0,0,0,0,0,0,0
Argentina,EYM,S,1,1,2,4,0,1,1,0,0,0,0,0,0,0,0
Argentina,EYM,T,2,4,8,8,3,2,1,1,1,0,0,0,0,0,0
Argentina,EYM,U,0,1,6,1,3,0,1,0,0,0,0,0,0,0,0
Argentina,EYM,V,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,EYM,Z,1,4,2,7,6,4,2,0,1,2,0,0,0,0,0
Argentina,MNU,A,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
Argentina,MNU,B,3,8,5,9,11,9,4,3,0,0,0,0,0,0,0
Argentina,MNU,C,0,1,5,0,2,1,0,2,0,0,0,0,0,0,0
